 ,Area,Mean,Min,Max
943,69,255,255,255
944,54,255,255,255
945,79,255,255,255
946,62,255,255,255
947,160,255,255,255
948,69,255,255,255
949,87,255,255,255
950,61,255,255,255
951,169,255,255,255
952,138,255,255,255
953,78,255,255,255
954,256,255,255,255
955,55,255,255,255
956,52,255,255,255
957,112,255,255,255
958,60,255,255,255
959,78,255,255,255
960,154,255,255,255
961,213,255,255,255
962,215,255,255,255
963,59,255,255,255
964,145,255,255,255
965,57,255,255,255
966,50,255,255,255
967,72,255,255,255
968,87,255,255,255
969,251,255,255,255
970,147,255,255,255
971,56,255,255,255
972,68,255,255,255
973,148,255,255,255
974,223,255,255,255
975,327,255,255,255
976,57,255,255,255
977,69,255,255,255
978,182,255,255,255
979,209,255,255,255
980,54,255,255,255
981,84,255,255,255
982,56,255,255,255
983,84,255,255,255
984,137,255,255,255
985,64,255,255,255
986,100,255,255,255
987,137,255,255,255
988,62,255,255,255
989,144,255,255,255
990,73,255,255,255
991,231,255,255,255
992,210,255,255,255
993,56,255,255,255
994,67,255,255,255
995,97,255,255,255
996,110,255,255,255
997,78,255,255,255
998,56,255,255,255
999,86,255,255,255
1000,128,255,255,255
1001,66,255,255,255
1002,62,255,255,255
1003,79,255,255,255
1004,55,255,255,255
1005,60,255,255,255
1006,96,255,255,255
1007,323,255,255,255
1008,94,255,255,255
1009,112,255,255,255
1010,68,255,255,255
1011,93,255,255,255
1012,65,255,255,255
1013,133,255,255,255
1014,69,255,255,255
1015,55,255,255,255
1016,133,255,255,255
1017,70,255,255,255
1018,83,255,255,255
1019,50,255,255,255
1020,58,255,255,255
1021,120,255,255,255
1022,58,255,255,255
1023,92,255,255,255
1024,77,255,255,255
1025,101,255,255,255
1026,68,255,255,255
1027,53,255,255,255
1028,82,255,255,255
1029,56,255,255,255
1030,63,255,255,255
1031,114,255,255,255
1032,94,255,255,255
1033,64,255,255,255
1034,116,255,255,255
1035,55,255,255,255
1036,177,255,255,255
1037,107,255,255,255
1038,102,255,255,255
1039,76,255,255,255
1040,56,255,255,255
1041,63,255,255,255
1042,62,255,255,255
1043,57,255,255,255
1044,163,255,255,255
1045,57,255,255,255
1046,129,255,255,255
1047,250,255,255,255
1048,137,255,255,255
1049,84,255,255,255
1050,76,255,255,255
1051,93,255,255,255
1052,67,255,255,255
1053,83,255,255,255
1054,155,255,255,255
1055,58,255,255,255
1056,51,255,255,255
1057,65,255,255,255
1058,54,255,255,255
1059,51,255,255,255
1060,109,255,255,255
1061,70,255,255,255
1062,62,255,255,255
1063,80,255,255,255
1064,70,255,255,255
1065,57,255,255,255
1066,51,255,255,255
1067,88,255,255,255
1068,67,255,255,255
1069,81,255,255,255
1070,54,255,255,255
1071,50,255,255,255
1072,66,255,255,255
1073,74,255,255,255
1074,145,255,255,255
1075,90,255,255,255
1076,55,255,255,255
1077,149,255,255,255
1078,122,255,255,255
1079,53,255,255,255
1080,125,255,255,255
1081,177,255,255,255
1082,51,255,255,255
1083,133,255,255,255
1084,261,255,255,255
1085,72,255,255,255
1086,86,255,255,255
1087,134,255,255,255
1088,86,255,255,255
1089,115,255,255,255
1090,65,255,255,255
1091,125,255,255,255
1092,129,255,255,255
1093,77,255,255,255
1094,74,255,255,255
1095,161,255,255,255
1096,72,255,255,255
1097,54,255,255,255
1098,53,255,255,255
1099,128,255,255,255
1100,63,255,255,255
1101,50,255,255,255
1102,59,255,255,255
1103,109,255,255,255
1104,249,255,255,255
1105,62,255,255,255
1106,135,255,255,255
1107,53,255,255,255
1108,116,255,255,255
1109,109,255,255,255
1110,110,255,255,255
1111,55,255,255,255
1112,63,255,255,255
1113,173,255,255,255
1114,79,255,255,255
1115,95,255,255,255
1116,93,255,255,255
1117,195,255,255,255
1118,63,255,255,255
1119,50,255,255,255
1120,57,255,255,255
1121,80,255,255,255
1122,142,255,255,255
1123,84,255,255,255
1124,77,255,255,255
1125,111,255,255,255
1126,140,255,255,255
1127,87,255,255,255
1128,59,255,255,255
1129,93,255,255,255
1130,67,255,255,255
1131,117,255,255,255
1132,51,255,255,255
1133,77,255,255,255
1134,73,255,255,255
1135,81,255,255,255
1136,52,255,255,255
1137,160,255,255,255
1138,109,255,255,255
1139,57,255,255,255
1140,139,255,255,255
1141,578,255,255,255
1142,66,255,255,255
1143,102,255,255,255
1144,76,255,255,255
1145,138,255,255,255
1146,255,255,255,255
1147,61,255,255,255
1148,121,255,255,255
1149,72,255,255,255
1150,60,255,255,255
1151,139,255,255,255
1152,76,255,255,255
1153,60,255,255,255
1154,66,255,255,255
1155,54,255,255,255
1156,73,255,255,255
1157,73,255,255,255
1158,110,255,255,255
1159,56,255,255,255
1160,62,255,255,255
1161,50,255,255,255
1162,64,255,255,255
1163,187,255,255,255
1164,50,255,255,255
1165,61,255,255,255
1166,111,255,255,255
1167,77,255,255,255
1168,53,255,255,255
1169,50,255,255,255
1170,66,255,255,255
1171,114,255,255,255
1172,91,255,255,255
1173,120,255,255,255
1174,91,255,255,255
1175,71,255,255,255
1176,137,255,255,255
1177,100,255,255,255
1178,86,255,255,255
1179,67,255,255,255
1180,64,255,255,255
1181,90,255,255,255
1182,56,255,255,255
1183,53,255,255,255
1184,72,255,255,255
1185,93,255,255,255
1186,162,255,255,255
1187,64,255,255,255
1188,53,255,255,255
1189,131,255,255,255
1190,143,255,255,255
1191,72,255,255,255
1192,52,255,255,255
1193,116,255,255,255
1194,93,255,255,255
1195,176,255,255,255
1196,52,255,255,255
1197,98,255,255,255
1198,51,255,255,255
1199,84,255,255,255
1200,58,255,255,255
1201,359,255,255,255
1202,88,255,255,255
1203,62,255,255,255
1204,60,255,255,255
1205,74,255,255,255
1206,93,255,255,255
1207,102,255,255,255
1208,65,255,255,255
1209,202,255,255,255
1210,70,255,255,255
1211,128,255,255,255
1212,93,255,255,255
1213,61,255,255,255
1214,90,255,255,255
1215,54,255,255,255
1216,55,255,255,255
1217,120,255,255,255
1218,67,255,255,255
1219,164,255,255,255
1220,99,255,255,255
1221,57,255,255,255
1222,57,255,255,255
1223,55,255,255,255
1224,62,255,255,255
1225,54,255,255,255
1226,61,255,255,255
1227,70,255,255,255
1228,69,255,255,255
1229,141,255,255,255
1230,80,255,255,255
1231,81,255,255,255
1232,54,255,255,255
1233,58,255,255,255
1234,90,255,255,255
1235,56,255,255,255
1236,56,255,255,255
1237,58,255,255,255
1238,69,255,255,255
1239,76,255,255,255
1240,78,255,255,255
1241,95,255,255,255
1242,56,255,255,255
1243,52,255,255,255
1244,88,255,255,255
1245,64,255,255,255
1246,131,255,255,255
1247,68,255,255,255
1248,102,255,255,255
1249,107,255,255,255
1250,85,255,255,255
1251,60,255,255,255
1252,73,255,255,255
1253,71,255,255,255
